Haltestelle Name;Haltestelle Nummer;Globale ID;X-Koordinate;Y-Koordinate;AGS Gemeinde;Gemeinde;AGS Landkreis;Landkreis;AGS Bundesland;Bundesland;Referenzhaltestelle Lief.
Wörbzig, Gröbziger Str.;22397;de:15082:22397;11,893363;51,716702;15082377;Südliches Anhalt;15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Wörbzig, Ortsmitte;5751;de:15082:5751;11,895291;51,720592;15082377;Südliches Anhalt;15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Wörlitz;3826;de:15091:3826;12,421721;51,837898;15091241;Oranienbaum-Wörlitz;15091;Wittenberg;15;Sachsen-Anhalt;NASA Master-Lieferant
Wörlitz;8013332;;12,421732;51,837865;15091241;Oranienbaum-Wörlitz;15091;Wittenberg;15;Sachsen-Anhalt;NASA Master-Lieferant
Wörlitz, Ambulanz;1052;de:15091:1052;12,427805;51,839258;15091241;Oranienbaum-Wörlitz;15091;Wittenberg;15;Sachsen-Anhalt;NASA Master-Lieferant
Wörlitz, Bahnhof;7809;de:15091:7809;12,421179;51,838013;15091241;Oranienbaum-Wörlitz;15091;Wittenberg;15;Sachsen-Anhalt;NASA Master-Lieferant
Wörlitz, Bahnhof;90421;;12,421721;51,837898;15091241;Oranienbaum-Wörlitz;15091;Wittenberg;15;Sachsen-Anhalt;NASA Master-Lieferant
Wörlitz, Bergstückenweg;9543;de:15091:9543;12,416980;51,840644;15091241;Oranienbaum-Wörlitz;15091;Wittenberg;15;Sachsen-Anhalt;NASA Master-Lieferant
Wörlitz, Kirchgasse;7618;de:15091:7618;12,422740;51,844243;15091241;Oranienbaum-Wörlitz;15091;Wittenberg;15;Sachsen-Anhalt;NASA Master-Lieferant
Wörlitz, Neue Reihe;7810;de:15091:7810;12,420202;51,842357;15091241;Oranienbaum-Wörlitz;15091;Wittenberg;15;Sachsen-Anhalt;NASA Master-Lieferant
Wörlitz, Ziegelei;7656;de:15091:7656;12,443229;51,831974;15091241;Oranienbaum-Wörlitz;15091;Wittenberg;15;Sachsen-Anhalt;NASA Master-Lieferant
Wörmlitz;6147;de:15086:6147;11,845106;52,169626;15086140;Möckern;15086;Jerichower Land;15;Sachsen-Anhalt;NASA Master-Lieferant
Wörmlitz, Schule;5946;de:15086:5946;11,848627;52,170494;15086140;Möckern;15086;Jerichower Land;15;Sachsen-Anhalt;NASA Master-Lieferant
Wormsdorf, Eilsleber Str.;3046;de:15083:3046;11,190953;52,133299;15083190;Eilsleben;15083;Börde;15;Sachsen-Anhalt;NASA Master-Lieferant
